,0,FRO_Precentral,FRO_Premotor,FRO_Prefrontal,PAR,TEM_Superior,TEM_Inferior,TEM_Medial,TEM_Hippocampus,TEM_Amygdala,OCC_Lateral,OCC_Medial,INS_Anterior,INS_Posterior,OLF_Anterior,OLF_Piriform,CIN_Anterior,CIN_Posterior,BG_CaudoPutamen,BG_Accumbens,BG_Pallidum,THL_Thalamus,THL_Hypothalamus,SUM
MD-c,0.001762114537444934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9982378854625551,0.0,1.0
ZI-d,0.5477996965098634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45220030349013657,0.0,1.0
ZI-v,0.9442906574394464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02629757785467128,0.029411764705882353,1.0
ZI-A13,0.47863247863247865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5213675213675214,1.0
MD-m,0.06204906204906205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.937950937950938,0.0,1.0
PV,0.5269792127377266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46329057938965057,0.009730207872622734,0.9999999999999999
PCN,0.011302475780409042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.988697524219591,0.0,1.0
CM,0.5721925133689839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42780748663101603,0.0,1.0
CL,0.32695252679938747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002297090352220521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6707503828483921,0.0,1.0
AM,0.03430749682337993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042354934349851756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9652689538331216,0.0,1.0
IAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
ZI-r,0.8491171749598716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1492776886035313,0.0016051364365971107,1.0
IMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
VP-pc,0.12181303116147309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8781869688385269,0.0,1.0
PF,0.9404069320035706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05959306799642934,0.0,1.0
RRe,0.631858407079646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.368141592920354,0.0,1.0
IGL,0.1326530612244898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025510204081632654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8418367346938775,0.0,1.0
SPF,0.1800878477306003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8199121522693997,0.0,1.0
FoF,0.7162790697674418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2682170542635659,0.015503875968992248,1.0
SubG,0.4497354497354497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5502645502645502,0.0,1.0
Eth,0.57847533632287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42152466367713004,0.0,1.0
LP-l,0.12090680100755667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05877413937867338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8203190596137699,0.0,1.0
ZI-A11,0.9242053789731052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07579462102689487,1.0
LP-mr,0.19000643362642075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04010293802273215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7698906283508471,0.0,1.0
LP-mc,0.46793697325027483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12788567240747525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4041773543422499,0.0,1.0
ZI-c,0.849799732977303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15020026702269693,0.0,1.0
VA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
VPL,0.006385950908002395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9936140490919976,0.0,1.0
MG-d,0.009482129832239242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18088986141502553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8096280087527352,0.0,1.0
MG-m,0.24295774647887325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017605633802816902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7552816901408451,0.0,1.0
MG-v,0.0014992503748125937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07721139430284858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9212893553223388,0.0,1.0
MG-sg,0.30372250423011843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009306260575296108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6869712351945855,0.0,1.0
VLO,0.10668597634564325,0.0,0.0004827419744146754,0.8712285783248853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018102824040550326,0.0,0.0027757663528843834,0.0027757663528843834,0.0,0.0,0.0003620564808110065,0.013878831764421916,0.0,0.0,0.0,1.0
LO,0.07946941434239356,0.0,5.921714928643335e-05,0.6131343637117309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23556581986143188,0.0,0.0001184342985728667,0.06004618937644342,0.0,0.0,0.006277017824361935,0.005329543435779001,0.0,0.0,0.0,1.0
VO,0.27771784729713533,0.0,0.0,0.5573534699748292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10367973151144672,0.0,0.0,0.0,0.001438331535418914,0.059810619681169845,0.0,0.0,0.0,1.0
MO,0.20157946692991116,0.0,0.0,0.7816386969397828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01678183613030602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DLO,0.04896259038038353,0.03803835271927067,0.011002829298962591,0.0436183590066017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8577491354919836,0.0,0.0,0.0006287331027978623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PrL,0.2896312894683235,0.0,0.0,0.6220818904053779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08800162965980851,0.0,0.0002851904664901202,0.0,0.0,0.0,0.0,1.0
M2,0.015567506368525332,0.07120011321822814,0.6679733937163883,0.15575997735635438,0.003014435324087178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071044438154542885,0.0,0.0,0.0,0.06427964902349279,0.015100481177469573,0.0,0.0,0.0,0.0,0.0,1.0
Ma,0.13382492516609476,0.7542527560779733,0.0246769365554501,0.0,0.005110608162371322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07439585310651968,0.006716799299116595,0.0,0.0,0.0,0.0,0.0010221216324742643,0.0,0.0,0.0,0.0,1.0
M1,0.14038945837619268,0.6333132337814351,0.1685524775653531,0.0005143120632781187,0.04944489766963431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026424999113255064,0.0,0.0,0.0,0.0004079026708757493,0.004735217961905437,0.0,0.0,0.0,0.0,0.0,1.0
AI-v,0.33105192679660767,0.0,0.0,0.008480880821306352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37568814164558845,0.0,0.0,0.28477905073649756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AI-d,0.16805074971164938,0.0011534025374855825,0.0,0.00011534025374855825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6836216839677047,0.0034602076124567475,0.0,0.14359861591695502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Cg1,0.05955732453159887,0.0,0.08834093777303174,0.1276575089797107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7244442287156587,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CLA,0.5929809988578548,0.0,0.0,0.02876129166234036,0.0,0.0,0.0,0.0,0.0,0.0004153255113695359,0.0,0.0,0.026269338594123143,0.0006229882670543038,0.0,0.0,0.0,0.0,0.34139757034575846,0.009552486761499324,0.0,0.0,0.0,1.0
IL,0.652600245140956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3218350551567151,0.0,0.0,0.0,0.019961477849763615,0.005603221852565225,0.0,0.0,0.0,1.0
DI,0.2946669799130741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36990485140373547,0.2816868319041466,0.0,0.037413367790438155,0.0,0.0,0.01632796898860566,0.0,0.0,0.0,0.0,1.0
GI,0.19889641334336594,0.0,0.0,0.0,0.00012540757461750688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30956859794331576,0.4190494105843993,0.0,0.0,0.0,0.0,0.07236017055430148,0.0,0.0,0.0,0.0,0.9999999999999999
S1-fl,0.1273008415355794,0.251984893990306,0.0,0.0,0.6204763745576735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023788991644116685,0.0,0.0,0.0,0.0,1.0
S1-dz,0.1444598980064905,0.018358831710709317,0.0,0.0,0.8371812702828002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S1-f,0.06760615612831448,0.12341924717226034,0.0,0.0,0.6669015390320786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06076395327276099,0.08086408307064713,0.0,0.0,0.0,0.0,0.0004450213239384387,0.0,0.0,0.0,0.0,0.9999999999999999
S2,0.07441980766065508,0.0,0.0,0.0,0.7306308636459827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008864539490700464,0.159538197465259,0.0,0.0,0.0,0.0,0.026546591737402713,0.0,0.0,0.0,0.0,0.9999999999999999
S1-hl,0.16881636570880076,0.1831543583898254,0.0,0.0,0.6480292759013738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AI-p,0.5016637980493402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002294893861158921,0.0,0.0,0.0,0.07917383820998279,0.0,0.38416523235800343,0.0,0.0,0.03270223752151463,0.0,0.0,0.0,0.0,1.0
S1-bf,0.08108568750266308,0.0,0.0,0.0,0.9189143124973369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RSD,0.4685927147609975,8.530724827252822e-05,0.014729718201723207,0.0,0.0,0.0,0.0,0.0,0.0017345807148747405,0.0,0.0001137429976967043,0.0026445246964483748,0.0,0.0,0.0,0.0,0.026388375465635397,0.4857110359143515,0.0,0.0,0.0,0.0,0.0,1.0
S1-tr,0.08761329305135952,0.0,0.0,0.0,0.911992644161303,0.0003940627873374491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RSG,0.43129989854880685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020753385382206342,0.0,0.0,0.005778307088350756,0.0,0.0,0.0,0.0,0.02046667548850955,0.5217017334921265,0.0,0.0,0.0,0.0,0.0,1.0
lPPC,0.06708646161298135,0.0,0.0,0.0,0.8917413417292323,0.0,0.0,0.0,0.0,0.0,0.0021797045289416324,0.03899249212884476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mPPC,0.10880829015544041,0.0,0.0,0.0,0.6854922279792746,0.0,0.0,0.0,0.0,0.0,0.0,0.20569948186528497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PtP,0.018970189701897018,0.0,0.0,0.0,0.9386372435152923,0.042392566782810684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
V1,0.15322624856093417,0.0,0.0,0.0,0.03943497249785282,0.0,0.0,0.0,0.0,0.0,0.16514080002923817,0.6157008935913602,0.0,0.0,0.0,0.0,0.0,0.026497085320614733,0.0,0.0,0.0,0.0,0.0,1.0
V2L,0.05657339551410171,0.0,0.0,0.0,0.10137685987119698,0.058072396180324226,0.0,0.0005551854319342661,0.0,0.0,0.6755496335776149,0.10787252942482789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
TeA,0.1530843951053362,0.0,0.0,0.0,0.0,0.5576510659770405,0.0019553425003153778,0.22177368487447963,0.0,0.0,0.06553551154282831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
V2M,0.1301982871691999,0.0,0.0,0.0,0.03336933878558753,0.0,0.0,0.0,0.0,0.0,0.0017745544325283543,0.5400817838129774,0.0,0.0,0.0,0.0,0.0,0.2945760357997068,0.0,0.0,0.0,0.0,0.0,1.0
Endo,0.5630463889107663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08970622981806727,0.0,0.0,0.0,0.0,0.019847208001890212,0.011498779239190359,0.0,0.0,0.2557296999291171,0.06017169410096873,0.0,0.0,0.0,1.0
Am-u,0.13683645978846537,0.0,0.0,0.0,0.0,0.0,0.0,0.00013719816403911394,0.000997804829375374,0.794389842346837,0.0,0.0,0.0,3.741768110157653e-05,0.0,0.04048593095190581,0.0,0.0,0.026616443823588107,0.0,0.0002619237677110357,0.0,0.00023697864697665136,1.0
NLOT,0.18047079337401917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8195292066259808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AOA-u,0.10965333936549228,0.0,0.0,0.02216818413165187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6551490131764975e-05,0.0,0.8583385172199287,0.00978340779279534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
