,0,ACA__Anterior_Cingulate_Area_left,AI__Agranular_Insular_Area_left,AUD__Auditory_Areas_left,ECT__Ectorhinal_Area_left,GU__Gustatory_Areas_left,ILA__Infralimbic_Area_left,MO__Somatomotor_Areas_left,ORB__Orbital_Area_left,PERI__Perirhinal_Area_left,PL__Prelimbic_Area_left,PTLp__Posterior_Parietal_Association_Areas_left,RSP__Retrosplenial_Area_left,SS__Somatosensory_Areas_left,TEa__Temporal_Association_Areas_left,VIS__Visual_Areas_left,VISC__Visceral_Area_left,Isocortex__Isocortex_Uncharted_left,AA__Amygdalar_Area_left,COA__Cortical_Amygdalar_Area_left,PIR__Piriform_Area_left,TT__Tenia_Tecta_left,OLF__Olfactory_Areas_Uncharted_left,BLA__Basolateral_Amygdala_left,CLA__Claustrum_left,ENT__Entorhinal_Area_left,PAR__Parasubiculum_left,POST__Postsubiculum_left,PRE__Presubiculum_left,HPF__Hippocampal_Formation_Uncharted_left,ZI__Zona_Incerta_Uncharted_left,FF__Fields_of_Forel_left,PH__Posterior_Hypothalamic_Nucleus_left,POA__Preoptic_Areas_Uncharted_left,STN__Subthalamic_Nucleus_left,HY__Hypothalamus_Uncharted_left,LSX__Lateral_Septal_Complex_left,PALd__Pallidum_Dorsal_Region_left,STR__Striatum_left,ACB__Nucleus_Accumbens_left,BST__Bed_Nuclei_of_Stria_Terminalis_left,PALv__Pallidum_Ventral_Region_left,VPM__Ventral_Posteromedial_Nucleus_of_the_Thalamus_left,VPL__Ventral_Posterolateral_Nucleus_of_the_Thalamus_left,LD__Lateral_Dorsal_Nucleus_of_the_Thalamus_Uncharted_left,LDVL__Lateral_Dorsal_Nucleus_of_the_Thalamus_Ventrolateral_Part_left,LP__Lateral_Posterior_Nucleus_of_the_Thalamus_left,ATN__Anterior_Group_of_the_Dorsal_Thalamus_left,MG__Medial_Geniculate_Complex_left,LGd__Dorsal_Part_of_the_Lateral_Geniculate_Complex_left,RT__Reticular_Nucleus_of_the_Thalamus_left,PrG__Pregeniculate_Nucleus_left,MD__Mediodorsal_Thalamic_Nucleus_left,TH__Thalamus_Uncharted_left,FRP__Frontal_Pole_Cerebral_Cortex_left,SUM
STh,0.14163090128755365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12017167381974249,0.0,0.0,0.0,0.2918454935622318,0.23390557939914164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21244635193133046,0.0,1.0
Cg2,0.39353915579769966,0.5335424577623686,0.0,0.0,0.0,0.0,0.07176269880578945,0.0011556876341423147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EP,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Sep,0.2430655321029948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6870924964084429,0.0,0.062493093159465135,0.0015471322798099238,0.00558072715217151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022101889711570338,0.0,1.0
PG,0.9735048760427681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026495123957231817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HTh-u,0.20598980209818898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028132142926915035,0.009592279289663391,0.017758415222615117,0.005450602692089789,0.0,0.6976185359563952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06077715044835603,0.0,1.0
GlA,0.06700470843897138,0.0,0.0,0.0,0.0,0.0,0.0,0.002897500905469033,0.33792104310032595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32415791379934805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26801883375588553,1.0
Gl,0.05367244025433019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035080026310019735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021925016443762334,0.0,0.0,0.0,0.0,0.9433457575093182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024117518088138568,1.0
OB-u,0.023833252655257837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003863056085499777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00228746072876031,0.0,0.0,0.0028474614880833735,0.009614928291428192,0.951071120096434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013288153611055743,0.0,0.0,0.0035688183983978283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002781020720028095,1.0
FrA,0.000756372437788367,0.014673625293094319,0.03986082747144694,0.0,0.0,0.0,0.0,0.5511685954163831,0.23341653430149006,0.0,0.13637395053324256,0.0,0.0,0.0,0.0,0.0,0.0,0.0005294607064518569,0.0,0.0,0.0,0.0,0.0001512744875576734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023069359352545192,1.0000000000000002
SMn,0.45384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49230769230769234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615385,0.0,1.0
BFR-u,0.1636774579538656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016020740543774514,0.08119391078907133,0.0,0.007445323406235459,0.019065346008110086,0.28817390148241706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005996144386093199,0.00039885661104832815,0.0,0.03068536860998471,3.988566110483281e-05,0.21652595891776907,0.05930997806288639,0.0003190852888386625,0.012231602738815395,0.019676926145050854,0.02530080436083228,0.04745064149438277,0.0,0.0,0.0,0.0,0.0,2.6590440736555207e-05,0.0,0.0,0.00039885661104832815,0.0,0.0,0.006062620487934587,0.0,1.0
BNST,0.22685851318944844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027817745803357313,0.0,0.05371702637889688,0.011990407673860911,0.00023980815347721823,0.003357314148681055,0.0,0.5079136690647482,0.0,0.0,0.0,0.0,0.0,0.0,0.005515587529976019,0.0,0.0,0.015827338129496403,0.0,0.0,0.14676258992805755,0.0,1.0
CA3,0.10199994109157315,0.0,0.0,0.0002650879208270743,0.007186828075756237,0.0,0.0,0.0,0.0,0.0010014432564578364,0.0,0.0,0.0,0.0,0.0018261612323642897,0.0,0.0,0.0,0.010043886778003594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8663073252628789,0.0013254396041353716,0.0,0.0,0.0,0.0,0.0,0.0,0.00023563370740184382,0.005773025831345174,0.0,0.0,0.0,0.0,0.0,0.0,0.00011781685370092191,0.0,0.0,0.0,0.0,0.0,0.000854172189331684,0.0,0.00306323819622397,0.0,1.0000000000000002
DG,0.15890216204032803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000173379336650658,0.0039010350746398045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036409660696638173,0.8173448688385319,0.0,0.0,0.0,0.0,0.0,0.00031208280597118436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002305945177453751,0.00026006900497598694,0.0014390484942004612,0.0005548138772821055,0.00031208280597118436,0.0,0.0,0.0,0.0,0.014130415937028625,0.0,0.9999999999999999
CA2,0.2553453947368421,0.0,0.0,0.022820723684210526,0.025904605263157895,0.0,0.0,0.0,0.0,0.03330592105263158,0.0,0.0,0.0,0.0006167763157894736,0.02261513157894737,0.0,0.0,0.0,0.02055921052631579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6188322368421053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CA1,0.2711699895068206,0.0,0.0,0.016474291710388247,0.03478488982161595,0.0,0.0,0.0,0.0,0.023950682056663168,0.0,0.002911857292759706,0.0,0.000472193074501574,0.030981112277019936,2.6232948583420775e-05,0.0,0.0004459601259181532,0.0094700944386149,7.869884575026233e-05,0.001285414480587618,0.0,0.004616998950682056,0.0,0.0,0.01217208814270724,0.0,0.0,0.0,0.5911594963273872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
FC,0.22284345047923323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.753727369542066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023429179978700747,0.0,1.0
SUB,0.2730506870328666,0.0,0.0,0.0,0.014328143868925227,0.0,0.0,0.0,0.0,0.016873918861581644,0.0,0.0,0.0,0.0,0.004732530435066418,0.0,0.0,0.002937432683834329,0.00042429583210940307,0.00013055256372597018,0.0010117823688762689,0.0,0.0012402493553967165,0.0,0.0,0.012174026567446719,0.0,0.002219393583341493,0.009138679460817912,0.6523385227977414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009399784588269853,0.0,1.0
POR,0.38731864992858756,0.0,0.0,0.0,0.3925806209125761,0.0,0.0,0.0,0.0,0.03668345485980606,0.0,0.0,0.00011275652108546944,0.0,0.042396451928136514,0.05961061414718485,0.0,0.019469292640757724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027249492595655116,0.027512591144854544,0.0070284898143275956,3.758550702848981e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PrS,0.4297140352799386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042018187794456006,0.0,0.0,0.00016434754026514736,0.0,0.0981702640517147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031719075271173444,0.10101895474964391,0.1259449983565246,0.17125013695628355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PaS,0.34781006204312304,0.0,0.0,0.0,6.142883469500583e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004914306775600466,0.0,6.142883469500583e-05,0.0035628724123103386,0.0,0.1399963142699183,6.142883469500583e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.03483014927206831,0.24688248663922846,0.07138030591559678,0.04029731555992383,0.11456477670618588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PER35,0.24396296649804333,0.0,0.0,0.0,0.06977188126372053,0.0,0.0,0.0,0.0,0.6619261238904266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047723584995704876,0.0,0.0,0.0048678056695618975,0.0,0.0,0.0,0.0,0.01899398682829054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PER36,0.18084799538505913,0.0,0.0,0.0,0.7518748197288723,0.0,0.0,0.0,0.0,0.06713296798384771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014421690222094028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MEC,0.2230894826968261,0.0,0.0,0.0,0.03098243797538927,0.0,0.0,0.0,0.0,0.0031858548046672774,0.0,0.0,0.0,0.0,0.00017920433276253435,0.0003384970729958982,0.0,0.042212576161841424,0.0005177014057584326,0.0,0.0,0.0,0.0,0.0,0.0,0.6156067062243639,0.06180558321054518,0.000537612998287603,0.0,0.02154434311656246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
LEC,0.17540193220773984,0.0,0.0,0.0,0.0028598141120827147,0.0,0.0,0.0,0.0,0.04660030431355295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21782250820363344,0.009074410163339383,0.0,0.02685658765513575,0.0,0.014592384828319493,0.0,0.0,0.4850501384076702,0.0,0.0,0.0,0.02174192010852628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MG-mz,0.2843853820598007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25681063122923586,0.000664451827242525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00132890365448505,0.00132890365448505,0.0,0.0,0.000664451827242525,0.0,0.06445182724252492,0.10132890365448505,0.0,0.05647840531561462,0.0,0.23255813953488372,0.0,1.0
Au1,0.07662815663020141,0.0,0.0,0.5362437378591146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006134342091810653,0.0,0.0,0.3865146713015029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Au2-d,0.039416152263374485,0.0,0.0,0.7567515432098766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07008744855967078,0.0,0.0,0.10718878600823045,0.026556069958847735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Au2-v,0.1297636584897201,0.0,0.0,0.01024787036443989,0.19477358611413564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6652148850317043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RT-a,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9811320754716981,0.0,0.0,0.009433962264150943,0.0,1.0
PIR1,0.21354342524854625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026636653535921967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012342900018758207,0.0,0.0071281185518664416,0.5174263740386419,0.0,0.24554492590508348,0.0,0.0,0.0013505908835115363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PIR2,0.001008318628686665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.402655239055541e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003949247962356105,0.0,0.005545752457776657,0.9053861020082346,0.0,0.07999327787580876,0.0,0.0,0.00403327451474666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PIR3,6.440186765416197e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012880373530832395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005474158750603768,6.440186765416197e-05,0.006697794236032845,0.9330864595073257,0.0,0.04768958299790694,0.0,0.0,0.011721139913057479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NAc-c,0.07487049164304564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038119440914866584,0.0,0.01153357443065194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052780764343661425,0.0,0.269963835402209,0.6345420779982407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NAc-sh,0.007489999148863733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006043067495105967,0.0,0.05506851646948677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03353476891650353,0.0,0.0242573836071155,0.8131755894118649,0.0009362498936079666,0.0594944250574517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
VP,0.047888550282977796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017631693513278188,0.0,0.0,0.0,0.36275576839355683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000326512842838485,0.0,0.0017414018284719198,0.0,0.00010883761427949499,0.0,0.01044841097083152,0.0,0.5590988245537658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
GPe-m,0.1659919028340081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,0.004048582995951417,0.0,0.008097165991902834,0.6072874493927125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004048582995951417,0.0,0.0,0.0,0.0,1.0
