source,A1/A2,A10,A11,A13L,A13M,A13a,A13b,A14C,A14R,A19DI,A19M,A23V,A23a,A23b,A23c,A24a,A24b,A24c,A24d,A25,A29a-c,A29d,A30,A31,A32,A32V,A35,A36,A3a,A3b,A45,A46D,A46V,A47L,A47M,A47O,A4ab,A4c,A6DC,A6DR,A6M,A6Va,A6Vb,A8C,A8aD,A8Av,A8b,A9,AI,AIP,Apri,AuA1,AuAL,AuCL,AuCM,AuCPB,AuML,AuR,AuRM,AuRPB,AuRT,AuRTL,AuRTM,DI,Ent,FST,GI,Gu,Ipro,LIP,MIP,MST,OPAl,OPro,OPt,PE,PEC,PF,PFG,PG,PGM,Pga-IPa,PaIL,PaIM,Pir,ProM,ProSt,ReI,S2E,S2I,S2PR,S2PV,STR,TE1,TE2,TE3,TEO,TF,TFO,TH,TL,TLO,TPO,TPPro,Tpro,TPt,V1,V2,V3,V3A,V4,V4T,V5,V6,V6A,VIP
A8Av,3.1858294306922805e-05,0.0226425588286254,0.0018585715550048,0,0,0,0,0,0,0.002243039978889,0.0017709563164108,0,0.0060873694360285,0.0159888002651161,0.0,0,0,0,0.0004766094735298,0,0,0,0,0,0.0,3.0186856642617805e-05,0,0,0.0,2.467673477445464e-05,0.0933773468124613,0.035895842761536,0,0.2671238416924343,0,0,0.0,0.0072217502124044,0.0001191327138432,0.0348225606304051,0.0114261229370698,0.0544604367657894,0,0.0580060055185846,0.1834158882539553,0.0,0.0050738721525566,0.0005296142642775,0,0.0461135240333158,0,0.0,0,0,0.019569414448527,0.0,0.0078765622095206,0,0,0,0.0,0,0,0,0,0,0,0,0,0.001770538243626,0.0176245210727969,0.0088165261599845,0,0,0.0006032138496373,0.0002847380410022,0.0076247040410931,0.0094570794088368,0.0018495596224934,0.0039055501136206,0.0048758439560591,0.0087854162090929,0,0,0,0,0,0,0.0041367552479644,0,0,0,0,0,0,0.0007657259866321,0.0,0,0,0,0,0,0.0101124668842963,0,0,0,0.0007760962359332,0.0005842700670582,0,0.0087396020667339,0.0097218003910135,0.0325133628156571,0.0077812458252578,0.0093025041316828,0,0
A8b,0.0,0.0073468815565122,0.0240286751039915,0,0,0,0,0,0,0.0,0.0,0,0.0046330614195266,0.0109673568744713,0.0,0,0,0,0.0013931661533949,0,0,0,0,0,0.2407804459691252,0.0003018685664261,0,0,8.102414519526819e-05,0.0007156253084591,0.0065607592325149,0.0486149738151796,0,0.0099371036612149,0,0,0.0019083856174885,0.0008496176720475,0.0053187383643753,0.098805291475869,0.1462147702512586,0.0028766629587382,0,0.029985963077182,0.0680683902737623,0.0049375730290851,0.0,0.2982610998322888,0,0.0027793693256817,0,0.0,0,0,0.0012572964095276,0.0,0.0006812504730906,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,6.435420554733252e-05,0,0,0.0001213724019167,0.0,0.0,7.657554177195804e-05,3.9616512162269234e-05,0.0006997827460571,0.0018967781004982,0.0008785416209092,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0073931288529496,0.0,0,0,0,0,0,0.00054577062218,0,0,0,0.0,0.0,0,0.0,5.338030800437719e-05,0.0001476232654266,0.0,0.0,0,0
A9,0.0,0.1123281881237525,0.056730684131339,0,0,0,0,0,0,0.0,0.0,0,0.0041451480902392,0.0009205021845527,0.0,0,0,0,0.0,0,0,0,0,0,0.2542881646655232,0.0204063150904096,0,0,0.0,0.0,0.0002888384567773,0.108288345315168,0,0.007896066088446,0,0,0.0,0.0,0.0,0.0008655832914502,8.662508662508664e-05,0.0,0,0.0001718921892189,0.0192709806493969,0.0001979553884741,0.1270815273160263,0.0,0,3.526590492312033e-05,0,0.0,0,0,1.967264715140069e-05,0.0,0.003087208816849,0,0,0,4.2703118029156375e-05,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0001048327916972,0.0,0.0,0.0,0.0,9.179786110983611e-06,2.3044660552150065e-05,0.0005490885130683,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.008941079403022,0.0,0,0,0,0,0,0.0024492042383908,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
AI,0.0,4.493574188909859e-05,8.850340738118418e-05,0,0,0,0,0,0,0.0,0.0,0,2.9679755438815187e-05,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0008266706149442,0.0002475758200949,0.0,0,1.760253476500616e-05,0,0,0.0,0.0,0.0,0.0,4.177109440267335e-05,0.0,0,0.0,0.0,0.0,0.0001482460330961,0.0,0,4.1074509159615545e-05,0,0.0,0,0,3.9345294302801385e-05,0.0,2.387603562304515e-05,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0003445899379738,0.0,0.0001147473263872,0.0,0.0015374478365912,0,0,0,0,0,0,0.0020954329772759,0,0,0,0,0,0,9.128769157956614e-05,0.0,0,0,0,0,0,0.0006215490102295,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
AIP,0.000382299531683,2.2467870944549296e-05,0.0003540136295247,0,0,0,0,0,0,0.0039583058450982,0.0,0,0.0015136675273795,0.0045560328080755,0.0,0,0,0,0.0002199736031676,0,0,0,0,0,0.0,0.0,0,0,0.0003006212839869,0.0,0.0018980812873942,0.0,0,0.0006848045217399,0,0,0.0009076511360161,0.0,0.0,0.0108727604244195,0.0,0.003846537433594,0,0.011174908474454,0.0002839295854628,0.0069923408985822,0.0001184678494276,0.0,0,0.0,0,0.0,0,0,0.0007278879446018,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.007130780433308,0.0022988505747126,0.0012870841109466,0,0,0.0066347475321752,0.0,0.0109956258276816,0.0604181024580748,0.0413992552095713,0.0225485414639399,0.0005268377339779,0.0,0,0,0,0,0,0,0.0004147083218136,0,0,0,0,0,0,0.0067455571155209,0.0,0,0,0,0,0,5.001000200040008e-05,0,0,0,0.0003162065368777,7.347760877927759e-05,0,0.0075405029093579,0.0067652219485323,7.381163271331562e-05,0.000612431408465,0.0018039419325389,0,0
Apri,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,4.0130021268911264e-05,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
AuA1,9.557488292076844e-05,0.0005349980343168,0.0,0,0,0,0,0,0,0.0,0.0,0,0.000148398777194,0.0015035018270401,3.764635018634943e-05,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.001976597090449,0,0.0,0,0,0.0,0.0,0.0,0.0002492743426886,0.0,0.0002418663509817,0,0.0,0.0015616127200454,9.72615163401701e-05,0.0,0.0,0,0.0,0,0.0,0,0,0.1397698728796392,0.0855292541313086,0.129732597692359,0,0,0,0.0891222261222012,0,0,0,0,0,0,0,0,0.0011737089201877,0.0,0.0,0,0,0.0021490722297934,0.0,0.0,0.0,0.0003565486094604,0.0009257443816983,0.0,0.0005490885130683,0,0,0,0,0,0,0.0014490043937552,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0848143344571847,0,0,0,0.000285492869738,0.0,0,0.0,0.0,0.0005904930617065,0.0,0.0,0,0
AuAL,0.0,0.0012446595064795,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.83158385817588e-05,0.0,0,0.0,0,0.0393959290873276,0,0,0.0089226167659258,0.1799910674408218,0.074758578189236,0,0,0,0.1270760524482411,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.3044660552150065e-05,0.0009883593235229,0,0,0,0,0,0,0.0,0,0,0,0,0,0,7.18838357214741e-05,0.0,0,0,0,0,0,0.0074412305234576,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
AuCL,0.0,0.0042042253782889,0.0,0,0,0,0,0,0,0.0,0.0,0,8.903926631644554e-05,0.0009486338852352,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0001237879100474,0.0060879190385831,0,0.0011512631947234,0,0,0.0,0.0,0.0,0.0003134941961189,0.0,6.361323155216285e-05,0,0.0,0.0019030451439524,0.0002548681579376,0.0004505671657088,0.0,0,0.0,0,0.1470781352593565,0,0,0.0586431872649021,0.0279142474318892,0.0406476654175332,0,0,0,0.0108959404586061,0,0,0,0,0,0,0,0,0.0,0.0,0.0007722504665679,0,0,0.0004947328979936,0.0,0.0,0.0,3.9616512162269234e-05,0.0011130185999921,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0011649878046859,8.189337482597657e-05,0,0,0,0,0,0.0479055888253582,0,0,0,0.0003179270298553,0.0,0,0.0,0.0,0.0001476232654266,0.0,0.0,0,0
AuCM,0.0019114976584153,0.002131470381116,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0005935951087763,0.0071619137075653,0.0007152806535406,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0004911084052182,0.0025971004333033,8.252527336496802e-05,0.0017394054395951,0,8.80126738250308e-06,0,0,7.787218362316568e-05,0.0008496176720475,0.0,0.0009413214552971,0.0,0.0015955596922582,0,0.0008196721311475,0.0035033090584869,9.6651805874864e-05,0.0,8.826904404625298e-05,0,0.000645989217585,0,0.0459619172685489,0,0,0.0,0.0033497096918267,0.0600354837507658,0,0,0,0.029409028221033,0,0,0,0,0,0,0,0,0.0,0.0007662835249042,0.0,0,0,0.0080721249606877,0.0005694760820045,0.0,0.0003445899379738,0.001435261125518,0.0095648026819237,4.608932110430013e-05,0.0005490885130683,0,0,0,0,0,0,0.0005529444290848,0,0,0,0,0,0,0.0002453443734491,4.094668741298829e-05,0,0,0,0,0,0.0721609999123929,0,0,0,0.0004603867158947,0.0,0,0.0,0.0,0.0002395265831364,8.59106529209622e-05,0.0,0,0
AuCPB,0.0,0.0133256068034211,0.0005310204442871,0,0,0,0,0,0,0.0,0.0,0,8.903926631644554e-05,0.0004637159269573,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0003622422797114,0,0,0.0,0.0,0.0002475758200949,0.0132661347283609,0,0.0001954399171558,0,0,0.0,0.0,0.0,0.0007400582732236,0.0,3.1806615776081425e-05,0,0.0,0.0090857467348097,0.0004387002918679,0.0023679198454144,0.0,0,0.0001057977147693,0,0.1057124097176625,0,0,0.0946217320032286,0.0,0.1323376550710877,0,0,0,0.1174670746194025,0,0,0,0,0,0,0,0,0.0046948356807511,0.0,6.435420554733252e-05,0,0,0.000442316502145,0.0,0.0,0.0,0.0,0.0004208853003109,0.0,0.0181199209312541,0,0,0,0,0,0,5.529444290848771e-05,0,0,0,0,0,0,0.0089444626607426,4.094668741298829e-05,0,0,0,0,0,0.0793176519328674,0,0,0,7.701786814540974e-05,0.0,0,0.0,0.0,4.595165885488466e-05,0.0,0.0,0,0
AuML,0.0,0.0012787789305142,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.000121925077393,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0037160025300442,0,0.0,0,0,0.0,0.0,0.0,0.0002861505164334,0.0,3.1806615776081425e-05,0,0.0,0.0016649263182877,0.0,0.0005054039343752,0.0,0,0.0,0,0.4235062376887721,0,0,0.0240635430398563,0.2251004912907548,0.0,0,0,0,0.076237774652551,0,0,0,0,0,0,0,0,0.0011737089201877,0.0,0.0,0,0,5.241639584862145e-05,0.0,0.0,0.0,0.0,0.0002301438756661,0.0,0.0003294531078409,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0001677289500167,0.0,0,0,0,0,0,0.0332820432937072,0,0,0,0.0002090484992518,0.0,0,0.0,0.0,0.0,0.0003675252712835,0.0,0,0
AuR,9.557488292076844e-05,0.0001398340101368,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0656598818122127,0,0,0.0257789589157216,0.1190263510495757,0.0627538492397624,0,0,0,0.0820304839626634,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0011273957158962,9.179786110983611e-06,0.0,0.0002196354052273,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0130359485517865,0,0,0,1.100255259220139e-05,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
AuRM,0.0,0.0001095210280373,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,1.0484378276368211e-05,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.010505581089954,0,0,0.0267590852569676,0.013845466726217,0.0380869393395063,0,0,0,0.0139260514414395,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.376967916647542e-05,0.0,0.0,0,0,0,0,0,0,4.674207721791156e-05,0,0,0,0,0,0,9.58451142952988e-05,0.0,0,0,0,0,0,0.0251589668809898,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
AuRPB,0.0,0.0085867655737723,0.0001327551110717,0,0,0,0,0,0,0.0,0.0,0,0.0,2.042284434396769e-05,0.0,0,0,0,0.0,0,0,0,0,0,0.0,9.056056992785342e-05,0,0,0.0,0.0,0.0,2.082205472035981e-05,0,0.0,0,0,0.0,0.0,0.0,1.3961020829843078e-05,0.0,0.0,0,0.0,0.0001419647927314,9.363295880149812e-05,0.0001383877089991,0.0,0,0.0,0,0.0032829940906106,0,0,0.0015934844192634,0.0806163465832961,0.0162835082033343,0,0,0,0.0882565974856189,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,5.507871666590168e-05,0.0,0.0098835932352295,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0263574064312071,0.0001228400622389,0,0,0,0,0,0.0204646426967093,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
AuRT,0.0,0.0001581970404984,8.850340738118418e-05,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0315167432698621,0,0,0.0001377085300598,0.0960250111656989,0.0006014895859396,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001098177026136,0,0,0,0,0,0,9.348415443582313e-05,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0035297629767417,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
AuRTL,0.0,0.0003415774659992,8.850340738118418e-05,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0013131976362442,0,0,7.869058860560277e-05,0.0230013398838767,0.004558656487686,0,0,0,0.0725018123152987,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012079947287502,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0008626060286576,0.0,0,0,0,0,0,0.0006618623658494,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
AuRTM,0.0,0.0003042250778816,4.425170369059209e-05,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,1.3961020829843078e-05,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0032829940906106,0,0,0.0001573811772112,0.0209915140687807,0.0004712657007818,0,0,0,0.022403029767903,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2.3961278573824696e-05,0.0,0,0,0,0,0,0.0020631602685925,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
DI,0.0008920322405938,0.0001797429675563,0.0002655102221435,0,0,0,0,0,0,0.0,0.0,0,0.0,1.2687779131140883e-05,0.0003388171516771,0,0,0,0.0016864642909517,0,0,0,0,0,0.0,3.0186856642617805e-05,0,0,0.0008016567572984,0.0004318428585529,0.0002475758200949,0.0,0,0.0001029648367627,0,0,0.0003386599123448,0.0,0.0004051863857374,2.792204165968616e-05,0.0001445248962933,0.0001782531194295,0,1.145947928126146e-05,0.0003872431837051,7.18390804597701e-05,0.0002725010950931,0.0,0,6.161176373942331e-05,0,0.0,0,0,0.002163991186654,0.0,0.0016297953624351,0,0,0,0.0014083551477303,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0008423309594915,0.0,0.0003901409097168,0.0,0.0135075774214803,0,0,0,0,0,0,0.0135448227314798,0,0,0,0,0,0,0.0006287248306303,0.0001637867496519,0,0,0,0,0,0.0142680640662365,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
Ent,0.0,0.000589072929642,4.425170369059209e-05,0,0,0,0,0,0,0.0,0.0,0,0.0006464359985207,0.0001830264121191,0.0,0,0,0,0.0,0,0,0,0,0,0.0,9.056056992785342e-05,0,0,0.0,0.0,0.0,4.164410944071961e-05,0,0.0001309757694826,0,0,0.0,0.0,0.0,4.188306248952923e-05,0.0,0.0,0,1.145947928126146e-05,0.0003872431837051,0.0,0.000869532568233,0.0012357666166475,0,0.0013753702920016,0,0.0,0,0,3.9345294302801385e-05,0.0002233139794551,0.0003532409860469,0,0,0,8.540623605831275e-05,0,0,0,0,0,0,0,0,0.0,0.0,6.435420554733252e-05,0,0,0.0,0.0,0.0,0.0,0.000594247682434,0.0004549700608297,3.099045493987852e-05,0.0003294531078409,0,0,0,0,0,0,0.0006076470038328,0,0,0,0,0,0,0.0059203061590544,4.094668741298829e-05,0,0,0,0,0,0.003218988471627,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
FST,0.0,0.0184062899485238,0.0007080272590494,0,0,0,0,0,0,0.0040902493732682,0.0005903187721369,0,0.0012631922416026,0.0005708614892185,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0001207474265704,0,0,0.0,0.0,0.0635031978543429,0.0066485867751425,0,0.012731681920543,0,0,0.0002960690772267,0.0004248088360237,0.0,0.004327394256606,0.0,0.0035697489907189,0,0.0050373992317264,0.0020836611311728,0.0232964105941522,0.0005446209482857,0.0001765380880925,0,0.0493314212509069,0,0.0032829940906106,0,0,0.047919062444488,0.0026797677534613,0.0125046882541487,0,0,0,0.0003603758101658,0,0,0,0,0,0,0,0,0.000885269121813,0.0030651340996168,0.0068858999935645,0,0,0.0027780689799769,0.0,0.0001203900638067,0.0001148633126579,0.0016910935738444,0.0170795362429945,8.502557043190709e-05,0.1446299143421919,0,0,0,0,0,0,8.294166436273154e-05,0,0,0,0,0,0,0.0364426545505585,0.0299729751863074,0,0,0,0,0,0.0560196642206745,0,0,0,0.0031925005681182,0.0005853303117126,0,0.0030884394582119,0.0433845469084982,0.1450318604951594,0.0229871764345466,0.0009961366151997,0,0
GI,0.0060530759183153,0.0011484778054885,0.0007080272590494,0,0,0,0,0,0,0.0,0.0,0,0.0,9.515834348355665e-05,0.0006023416029815,0,0,0,0.0060859363543041,0,0,0,0,0,0.0,0.0,0,0,0.0041263314571824,0.0004143774175067,0.0003301010934598,0.0,0,0.0004105250996945,0,0,0.0,0.0,0.0013366885609485,0.0011082795552158,0.0005105018262912,0.0025897912146228,0,0.0011863754681479,0.0025598987825021,0.0,0.0001841556501549,8.826904404625298e-05,0,3.526590492312033e-05,0,0.0,0,0,0.0179007454569819,0.0002233139794551,0.0136318685000381,0,0,0,0.0007738575106887,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0005694760820045,0.0,0.0015697986063251,0.0,0.000358222866254,0.0,0.0203162749835273,0,0,0,0,0,0,0.0420410881080014,0,0,0,0,0,0,0.0022538128254645,4.094668741298829e-05,0,0,0,0,0,0.0104780455097462,0,0,0,0.0,0.0,0,0.0,2.669015400218859e-05,0.0,0.0,0.0,0,0
Gu,0.0,0.0,0.0016815647402424,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.0010632057486434,0,0,0,0,0,0.0,0.0,0,0,8.102414519526819e-05,0.015361267397098,0.0025170208376315,0.0,0,0.0009742903076305,0,0,3.8887808671981336e-05,0.0,0.0,0.0005403939580697,0.0001732501732501,0.000227119115776,0,0.0002406490649064,0.0,0.000557724055115,0.0094945069669077,0.0001765380880925,0,2.053725457980777e-05,0,0.0,0,0,0.0,0.0,0.0,0,0,0,3.89529448426301e-05,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0019909640860709,0.0,4.320002486327968e-05,0.0,0.0001098177026136,0,0,0,0,0,0,0.0007741222007188,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,2.669015400218859e-05,0.0,0.0,0.0,0,0
Ipro,0.0,0.0002284189800174,0.0014603062217895,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0001633827547517,0.0003011708014907,0,0,0,7.332453438920664e-05,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0002909937436345,0.0006189395502372,0.0,0,2.640380214750924e-05,0,0,0.0,0.0,0.0,6.980510414921539e-05,0.0,0.0,0,1.145947928126146e-05,0.0,7.18390804597701e-05,8.284093124342932e-05,0.0,0,0.0,0,0.0,0,0,0.0055083412023921,0.004019651630192,0.0039888648647161,0,0,0,0.0375341154476185,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,7.657554177195804e-05,0.0,0.0001126664453585,0.0,0.0174610147155721,0,0,0,0,0,0,0.0042340051312643,0,0,0,0,0,0,0.0018073849034634,0.0003685201867168,0,0,0,0,0,0.0378672380468747,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
LIP,0.0001274331772276,0.0002262388015474,0.0033631294804849,0,0,0,0,0,0,0.0151735057395434,0.0112160566706021,0,0.0381700652909499,0.0218746912057516,0.0,0,0,0,3.666226719460332e-05,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0007014648236022,0.0002082205472035,0,0.0056957933544217,0,0,0.0003544973565138,0.0,0.0001081314878892,0.0498987039156634,0.0,0.0006679389312977,0,0.0321957264032414,0.0033305838753902,0.0105762958603651,0.0001420327038254,8.826904404625298e-05,0,0.0792266385498933,0,0.0,0,0,0.0008262511803588,0.0,7.569449701006738e-05,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0021236887830619,0,0,0.2125663404271924,0.0002847380410022,0.0162927886351779,0.0024504173367026,0.0228587275176293,0.1080548591884578,0.081399278701839,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.013937263678513,0.0,0,0,0,0,0,0.00125025005001,0,0,0,0.0060376290260144,0.0067370917394044,0,0.1136118186210698,0.0056687361687844,0.0033363794114101,0.0073708013369967,0.0035733980979218,0,0
MIP,0.0,0.0,0.0,0,0,0,0,0,0,0.0335136561551655,0.0005903187721369,0,0.0055609300797766,0.0063490624775111,0.0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0023519702909015,0.0,0,0.0004470691600992,0,0,5.842827928717499e-05,0.0004248088360237,0.0,0.0148046432061971,0.0,0.000481973169838,0,0.0084800146681334,0.0004905567819475,0.0296736123397475,1.943861286058627e-05,0.0,0,0.0324488448537394,0,0.0,0,0,3.9345294302801385e-05,0.0,4.77520712460903e-05,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0597619000119698,0.0,0.0,0,0,0.0160195691154913,0.0,0.1310245194429953,7.657554177195804e-05,0.0009507962918944,0.0136049455926567,0.0381953393520947,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,4.336513443191674e-05,0.0,0,0,0,0,0,0.0,0,0,0,0.0019948969472654,0.0007059293649985,0,0.0642442327877222,0.0068356946737463,0.012964493328218,0.0065477029174396,0.0625306418101759,0,0
